id,question,category,answer,label,score_clarity,score_structure,score_impact,missing
1,Tell me about a time you resolved a conflict with a teammate.,conflict,"honestly, During my internship, two teammates disagreed on how to split a feature for a release. I tried to help and talk to people, but I was not very structured about it. I spoke to both sides separately first, then reframed the issue around the shared deadline and user impact We shipped without slipping the release and the team had a better way to escalate disagreements after that.",weak,2,4,2,"metrics, ownership, specific context"
2,Tell me about a time you resolved a conflict with a teammate.,conflict,"During my internship, two teammates disagreed on how to split a feature for a release. I spoke to both sides separately first, then reframed the issue around the shared deadline and user impact. I also kept the team updated so we could move forward without too much confusion. We shipped without slipping the release and the team had a better way to escalate disagreements after that.",average,5,4,6,metrics
3,Tell me about a time you resolved a conflict with a teammate.,conflict,"During my internship, two teammates disagreed on how to split a feature for a release. I first clarified the success criteria and the actual risk to the timeline. I spoke to both sides separately first, then reframed the issue around the shared deadline and user impact. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We shipped without slipping the release and the team had a better way to escalate disagreements after that.",strong,7,10,7,
4,Describe a disagreement you handled inside a project team.,conflict,"honestly, In a college capstone project, design and engineering kept blaming each other for delays. I tried to help and talk to people, but I was not very structured about it. I summarized the actual blocker, clarified decisions that were emotional versus technical, and proposed a simple ownership split The merge moved forward the next day and the relationship between the teammates improved noticeably.",weak,2,2,3,"measurable impact, specific actions"
5,Describe a disagreement you handled inside a project team.,conflict,"In a college capstone project, design and engineering kept blaming each other for delays. I summarized the actual blocker, clarified decisions that were emotional versus technical, and proposed a simple ownership split. I also kept the team updated so we could move forward without too much confusion. The merge moved forward the next day and the relationship between the teammates improved noticeably.",average,5,6,4,reflection
6,Describe a disagreement you handled inside a project team.,conflict,"In a college capstone project, design and engineering kept blaming each other for delays. I first clarified the success criteria and the actual risk to the timeline. I summarized the actual blocker, clarified decisions that were emotional versus technical, and proposed a simple ownership split. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The merge moved forward the next day and the relationship between the teammates improved noticeably.",strong,10,8,10,
7,Walk me through a time team tension affected delivery.,conflict,"kind of, On a student product team, two contributors wanted different priorities for the same sprint. I tried to help and talk to people, but I was not very structured about it. I set up a short alignment meeting, wrote down the tradeoffs, and pushed the team toward one decision we could all support We got back on schedule and I learned that naming the real issue early prevents small tension from growing.",weak,2,2,3,"clear structure, result"
8,Walk me through a time team tension affected delivery.,conflict,"On a student product team, two contributors wanted different priorities for the same sprint. I set up a short alignment meeting, wrote down the tradeoffs, and pushed the team toward one decision we could all support. I also kept the team updated so we could move forward without too much confusion. We got back on schedule and I learned that naming the real issue early prevents small tension from growing.",average,6,5,4,metrics
9,Walk me through a time team tension affected delivery.,conflict,"On a student product team, two contributors wanted different priorities for the same sprint. I first clarified the success criteria and the actual risk to the timeline. I set up a short alignment meeting, wrote down the tradeoffs, and pushed the team toward one decision we could all support. I documented the decision path, followed up on ownership, and kept stakeholders aligned. We got back on schedule and I learned that naming the real issue early prevents small tension from growing.",strong,9,7,7,deeper reflection
10,Tell me about a time you had to repair a working relationship.,conflict,"honestly, At an internship, code review comments became defensive and slowed the merge process. I tried to help and talk to people, but I was not very structured about it. I kept the discussion focused on facts, timelines, and the goal instead of who was right The team regained momentum, and the lead later reused the same alignment format for future disputes.",weak,3,3,3,"clear structure, result"
11,Tell me about a time you had to repair a working relationship.,conflict,"At an internship, code review comments became defensive and slowed the merge process. I kept the discussion focused on facts, timelines, and the goal instead of who was right. I also kept the team updated so we could move forward without too much confusion. The team regained momentum, and the lead later reused the same alignment format for future disputes.",average,5,6,5,reflection
12,Tell me about a time you had to repair a working relationship.,conflict,"At an internship, code review comments became defensive and slowed the merge process. I first clarified the success criteria and the actual risk to the timeline. I kept the discussion focused on facts, timelines, and the goal instead of who was right. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The team regained momentum, and the lead later reused the same alignment format for future disputes.",strong,7,10,7,
13,Describe a conflict that could have slowed the project down.,conflict,"kind of, During a hackathon follow-up project, communication friction started affecting handoffs. I tried to help and talk to people, but I was not very structured about it. I followed up after the meeting to make sure the tension did not quietly return during execution The conflict stopped blocking progress, and our later reviews were much smoother.",weak,4,4,2,"measurable impact, specific actions"
14,Describe a conflict that could have slowed the project down.,conflict,"During a hackathon follow-up project, communication friction started affecting handoffs. I followed up after the meeting to make sure the tension did not quietly return during execution. I also kept the team updated so we could move forward without too much confusion. The conflict stopped blocking progress, and our later reviews were much smoother.",average,5,6,4,metrics
15,Describe a conflict that could have slowed the project down.,conflict,"During a hackathon follow-up project, communication friction started affecting handoffs. I first clarified the success criteria and the actual risk to the timeline. I followed up after the meeting to make sure the tension did not quietly return during execution. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The conflict stopped blocking progress, and our later reviews were much smoother.",strong,8,9,7,
19,Describe a time two people on your team were not aligned and you helped.,conflict,"to be honest, In a college capstone project, design and engineering kept blaming each other for delays. I tried to help and talk to people, but I was not very structured about it. I summarized the actual blocker, clarified decisions that were emotional versus technical, and proposed a simple ownership split The merge moved forward the next day and the relationship between the teammates improved noticeably.",weak,4,4,1,"metrics, ownership, specific context"
22,Tell me about a time you had to balance different opinions on a team.,conflict,"honestly, On a student product team, two contributors wanted different priorities for the same sprint. I tried to help and talk to people, but I was not very structured about it. I set up a short alignment meeting, wrote down the tradeoffs, and pushed the team toward one decision we could all support We got back on schedule and I learned that naming the real issue early prevents small tension from growing.",weak,3,3,2,"metrics, ownership, specific context"
25,Describe a time conflict made execution harder than it should have been.,conflict,"basically, At an internship, code review comments became defensive and slowed the merge process. I tried to help and talk to people, but I was not very structured about it. I kept the discussion focused on facts, timelines, and the goal instead of who was right The team regained momentum, and the lead later reused the same alignment format for future disputes.",weak,2,3,1,"metrics, ownership, specific context"
28,Tell me about a time you had to keep a team moving during disagreement.,conflict,"to be honest, During a hackathon follow-up project, communication friction started affecting handoffs. I tried to help and talk to people, but I was not very structured about it. I followed up after the meeting to make sure the tension did not quietly return during execution The conflict stopped blocking progress, and our later reviews were much smoother.",weak,4,3,1,"metrics, ownership, specific context"
31,Tell me about a time you led without formal authority.,leadership,"basically, During an internship, a feature had many moving parts but no clear day-to-day coordinator. I tried to help and talk to people, but I was not very structured about it. I created a visible plan with milestones, owners, and check-in points so everyone could see where we stood The team delivered on time and people kept using the structure I introduced even after the project milestone.",weak,4,3,3,"metrics, ownership, specific context"
32,Tell me about a time you led without formal authority.,leadership,"During an internship, a feature had many moving parts but no clear day-to-day coordinator. I created a visible plan with milestones, owners, and check-in points so everyone could see where we stood. I also kept the team updated so we could move forward without too much confusion. The team delivered on time and people kept using the structure I introduced even after the project milestone.",average,7,6,4,reflection
33,Tell me about a time you led without formal authority.,leadership,"During an internship, a feature had many moving parts but no clear day-to-day coordinator. I first clarified the success criteria and the actual risk to the timeline. I created a visible plan with milestones, owners, and check-in points so everyone could see where we stood. I documented the decision path, followed up on ownership, and kept stakeholders aligned. The team delivered on time and people kept using the structure I introduced even after the project milestone.",strong,9,9,7,deeper reflection
34,Describe a time you influenced a group to move in a better direction.,leadership,"basically, In a student project, the team had strong ideas but no one was keeping decisions organized. I tried to help and talk to people, but I was not very structured about it. I volunteered to run short syncs, summarize blockers, and keep the team focused on the highest-risk work first We reduced confusion, finished the work more smoothly, and I learned that leadership is often about clarity and follow-through.",weak,2,3,1,"measurable impact, specific actions"
